Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
BEARER ACCESS TOKEN APPLICATION/API,100,922,0,1701,118.80,0.000%,30.03003,8.15,4.34,278.0
TOTAL,100,922,0,1701,118.80,0.000%,30.03003,8.15,4.34,278.0
