Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TEST-CASE-1,6,3947,0,6276,1073.41,0.000%,.95557,25.99,3.54,27852.5
TOTAL,6,3947,0,6276,1073.41,0.000%,.95557,25.99,3.54,27852.5
