Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
YAHOO HOME PAGE,50,1574,0,2699,367.36,0.000%,1.32830,181.29,0.15,139757.4
YAHOO FINANCE PAGE,50,4173,0,14107,2477.20,0.000%,1.29857,1780.06,0.17,1403684.8
TOTAL,100,2874,0,14107,2196.57,0.000%,2.44212,1840.47,0.30,771721.1
