Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
APPLICATION ASKING USER CREDENTIALS,100,1036,939,1340,1394,1424,860,1525,0.000%,40.76641,10.99,6.93
TOTAL,100,1036,939,1340,1394,1424,860,1525,0.000%,40.76641,10.99,6.93
